,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE,AREA100
366949,1071A00279000000,15090,3/2/12,117000.0,1.0,1952.0,4.0,2.0,1.0,0.0,861.0,11.669929213779893,8.61
41697,0086D00186000000,15217,8/9/00,527667.0,2.0,1902.0,11.0,8.0,3.0,1.0,4466.0,13.176220681906779,44.66
283252,0734R00359000000,15068,11/11/17,174000.0,2.0,1997.0,9.0,4.0,2.0,0.0,2119.0,12.066810578196666,21.19
208617,0178K00013000000,15218,6/16/15,26000.0,2.5,1920.0,8.0,5.0,1.0,1.0,1944.0,10.165851817003619,19.44
86927,0023K00113000000,15212,7/10/03,77500.0,3.0,1867.0,6.0,2.0,2.0,0.0,2496.0,11.258033215341438,24.96
89941,0047S00209000000,15212,3/13/14,15000.0,2.5,1900.0,9.0,5.0,2.0,0.0,3186.0,9.615805480084347,31.86
34575,0125S00034000000,15208,11/10/98,3800.0,2.0,1900.0,10.0,5.0,2.0,1.0,1182.0,8.242756345714477,11.82
298542,0423A00124000000,15143,5/5/15,314800.0,2.0,2001.0,8.0,4.0,2.0,1.0,3032.0,12.659692795525386,30.32
290305,1239K00061000000,15239,9/3/14,16500.0,2.0,1958.0,7.0,3.0,1.0,1.0,2368.0,9.711115659888671,23.68
29574,0123J00039000000,15206,10/28/13,345000.0,1.5,1962.0,4.0,2.0,2.0,0.0,2948.0,12.751299696013497,29.48
16728,0050N00325000000,15224,6/21/00,74000.0,3.0,1900.0,8.0,4.0,2.0,0.0,2560.0,11.211820372186306,25.6
309653,1269G00387000000,15037,4/21/17,179900.0,2.0,1973.0,7.0,3.0,1.0,3.0,1483.0,12.100156419938624,14.83
368694,1349J00055000000,15090,8/28/96,589000.0,2.0,1996.0,9.0,5.0,4.0,1.0,5431.0,13.286181462633724,54.31
331385,0619R00003000000,15238,7/3/91,93500.0,2.0,1992.0,10.0,5.0,3.0,1.0,3714.0,11.44571671527678,37.14
159964,0419R00028000000,15108,5/17/17,195000.0,1.0,1978.0,5.0,3.0,2.0,1.0,1843.0,12.180754837545884,18.43
49841,0054P00184000000,15207,12/15/15,3000.0,3.0,1900.0,5.0,2.0,1.0,0.0,1679.0,8.006367567650246,16.79
350390,0098N00246000000,15228,8/25/16,180000.0,1.0,1932.0,6.0,3.0,1.0,0.0,2087.0,12.100712129872347,20.87
200555,0383B00389000000,15133,1/28/14,26000.0,2.0,1959.0,6.0,3.0,1.0,0.0,1160.0,10.165851817003619,11.6
343920,0504L00103000C00,15108,11/19/96,131192.0,1.0,1996.0,6.0,2.0,2.0,1.0,1614.0,11.784417178023281,16.14
245673,0315A00120000000,15236,9/12/17,10.0,1.0,1960.0,7.0,3.0,2.0,1.0,1290.0,2.302585092994046,12.9
366130,0946E00019000000,15101,6/21/83,28500.0,2.0,1984.0,7.0,3.0,2.0,1.0,2523.0,10.257659366256743,25.23
117814,0657E00343000000,15025,7/19/01,28500.0,2.0,1920.0,4.0,2.0,1.0,0.0,736.0,10.257659366256743,7.36
234060,0241B00160000000,15122,4/28/17,54000.0,1.0,1945.0,5.0,2.0,1.0,0.0,900.0,10.896739325546411,9.0
393810,0446C00262000000,15147,2/11/99,87500.0,1.0,1974.0,7.0,3.0,1.0,1.0,1575.0,11.379394072345706,15.75
