,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,DEGFIELD,DEGFIELDD,INCTOT,INCLOG10,EDU
994,324195,2019,201901,142711,2019000587160,63.0,2019001427111,731806,1,3,184.0,0.0,54,7,71,0,0,14000,4.146128035678238,13.0
673,173982,2019,201901,86775,2019000004211,66.0,2019000867751,591006,1,3,77.0,1.0,34,6,63,0,0,31700,4.501059262217751,12.0
82,2465353,2019,201901,1092501,2019000516049,26.0,2019010925011,270342,1,3,32.0,1.0,27,6,63,0,0,20000,4.301029995663981,12.0
151,2745513,2019,201901,1221214,2019000289214,327.0,2019012212141,462348,1,2,359.0,1.0,38,8,81,0,0,60000,4.778151250383644,14.0
365,66575,2019,201901,31808,2019000165692,51.0,2019000318081,10904,1,1,52.0,1.0,24,10,101,64,6402,29000,4.462397997898956,16.0
432,371289,2019,201901,160281,2019000770410,77.0,2019001602811,1110206,1,1,77.0,1.0,40,11,116,50,5003,192000,5.283301228703549,17.0
924,1624814,2019,201901,712876,2019001291308,37.0,2019007128761,60027,1,1,38.0,0.0,53,6,63,0,0,13600,4.133538908370218,12.0
38,291495,2019,201901,130545,2019000460113,60.0,2019001305451,374806,1,1,60.0,1.0,54,7,71,0,0,23000,4.361727836017593,13.0
834,184802,2019,201901,90834,2019000046960,38.0,2019000908341,711506,1,2,51.0,0.0,44,5,50,0,0,65000,4.812913356642856,11.0
274,1541279,2019,201901,676180,2019000946251,89.0,2019006761801,170426,1,1,89.0,1.0,65,11,114,23,2314,48100,4.682145076373832,17.0
196,902111,2019,201901,389271,2019000672858,14.0,2019003892711,260013,1,1,14.0,1.0,20,6,63,0,0,14000,4.146128035678238,12.0
119,697489,2019,201901,298611,2019000314279,43.0,2019002986111,310412,1,2,40.0,1.0,74,6,65,0,0,46300,4.665580991017953,12.0
168,637465,2019,201901,267070,2019001174781,84.0,2019002670701,30010,1,1,83.0,0.0,72,10,101,55,5501,216000,5.334453751150931,16.0
773,2019185,2019,201901,889558,2019000789522,41.0,2019008895581,370136,1,1,41.0,1.0,91,6,61,0,0,21000,4.3222192947339195,12.0
795,9290,2019,201901,5414,2019000207653,47.0,2019000054141,150001,1,1,47.0,1.0,68,6,63,0,0,1200,3.0791812460476247,12.0
790,3147923,2019,201901,1386383,2019001269378,53.0,2019013863831,1160453,1,2,59.0,1.0,34,11,114,50,5003,60000,4.778151250383644,17.0
245,1098166,2019,201901,474167,2019001280094,43.0,2019004741671,10517,1,1,44.0,1.0,32,11,115,52,5299,45000,4.653212513775344,17.0
470,1975272,2019,201901,871692,2019000459683,100.0,2019008716921,401336,1,1,101.0,0.0,52,11,114,21,2100,122500,5.088136088700551,17.0
602,2081885,2019,201901,915156,2019001260320,109.0,2019009151561,310736,1,3,84.0,1.0,55,8,81,0,0,8000,3.9030899869919438,14.0
986,120257,2019,201901,53824,2019001280466,208.0,2019000538241,10604,1,2,215.0,0.0,65,8,81,0,0,27300,4.4361626470407565,14.0
304,3063898,2019,201901,1350204,2019001173035,63.0,2019013502041,5115551,1,2,49.0,1.0,31,11,115,49,4901,54000,4.732393759822968,17.0
56,604520,2019,201901,252750,2019000362635,38.0,2019002527501,30009,1,1,39.0,0.0,46,7,71,0,0,81000,4.9084850188786495,13.0
500,2536885,2019,201901,1123454,2019001348814,28.0,2019011234541,160042,1,3,39.0,1.0,23,10,101,55,5503,24000,4.380211241711606,16.0
630,2557300,2019,201901,1134333,2019000055819,81.0,2019011343331,160045,1,1,80.0,1.0,43,6,63,0,0,9200,3.963787827345555,12.0
675,927541,2019,201901,399839,2019001044187,38.0,2019003998391,110013,1,2,25.0,0.0,60,8,81,0,0,14500,4.161368002234975,14.0
319,1500531,2019,201901,658735,2019000344810,61.0,2019006587351,300126,1,2,66.0,0.0,49,6,63,0,0,60000,4.778151250383644,12.0
955,1299396,2019,201901,566697,2019000426080,93.0,2019005666971,80022,1,2,180.0,0.0,21,6,63,0,0,52000,4.7160033436347994,12.0
742,945872,2019,201901,407393,2019001313247,71.0,2019004073931,100513,1,1,72.0,0.0,51,10,101,52,5200,99100,4.996073654485276,16.0
75,569175,2019,201901,236590,2019000764355,128.0,2019002365901,80208,1,2,134.0,0.0,50,6,64,0,0,54000,4.732393759822968,12.0
279,620521,2019,201901,259596,2019001020203,68.0,2019002595961,30409,1,1,68.0,0.0,49,7,71,0,0,52000,4.7160033436347994,13.0
474,759822,2019,201901,325807,2019000759017,43.0,2019003258071,570812,1,2,47.0,1.0,43,8,81,0,0,90000,4.954242509439325,14.0
696,2792053,2019,201901,1239457,2019000541577,102.0,2019012394571,450248,1,1,101.0,1.0,65,10,101,19,1902,24000,4.380211241711606,16.0
899,2555931,2019,201901,1133727,2019000015960,326.0,2019011337271,130045,1,1,326.0,0.0,40,3,30,0,0,26800,4.4281347940287885,9.0
550,2264612,2019,201901,1000265,2019000561037,80.0,2019010002651,550539,1,1,80.0,0.0,29,6,64,0,0,20300,4.307496037913213,12.0
292,712827,2019,201901,305258,2019000422068,90.0,2019003052581,1010212,1,3,164.0,0.0,38,7,71,0,0,33000,4.518513939877887,13.0
999,1740215,2019,201901,766078,2019000493765,99.0,2019007660781,80131,1,1,99.0,0.0,69,6,65,0,0,33350,4.5230958382525674,12.0
939,228711,2019,201901,107204,2019000216016,123.0,2019001072041,810506,1,1,122.0,1.0,32,11,114,60,6000,571000,5.756636108245848,17.0
242,1340374,2019,201901,585226,2019001218511,28.0,2019005852261,20023,1,1,28.0,0.0,53,6,63,0,0,44600,4.649334858712142,12.0
307,498367,2019,201901,207700,2019001263754,55.0,2019002077001,591406,1,2,57.0,1.0,62,11,114,23,2310,85000,4.929418925714293,17.0
671,1466615,2019,201901,641906,2019001274042,76.0,2019006419061,140025,1,1,76.0,1.0,68,6,63,0,0,44600,4.649334858712142,12.0
676,514871,2019,201901,213827,2019001328101,62.0,2019002138271,371606,1,1,61.0,1.0,49,6,63,0,0,24000,4.380211241711606,12.0
480,2837738,2019,201901,1257493,2019000789791,98.0,2019012574931,590848,1,3,145.0,0.0,31,6,63,0,0,25000,4.3979400086720375,12.0
17,255455,2019,201901,117129,2019000320197,65.0,2019001171291,373506,1,2,58.0,0.0,48,6,65,0,0,120000,5.079181246047625,12.0
202,974844,2019,201901,419392,2019000647476,75.0,2019004193921,10016,1,2,57.0,0.0,24,7,71,0,0,36000,4.556302500767287,13.0
943,2861821,2019,201901,1267041,2019000918862,88.0,2019012670411,190548,1,1,88.0,1.0,57,11,115,61,6107,302000,5.480006942957151,17.0
798,958540,2019,201901,412891,2019000558233,31.0,2019004128911,30115,2,5,49.0,1.0,39,6,61,0,0,5000,3.6989700043360187,12.0
551,124862,2019,201901,55754,2019001380652,129.0,2019000557541,80004,1,1,129.0,0.0,22,6,63,0,0,41000,4.6127838567197355,12.0
807,3107722,2019,201901,1370000,2019000502904,111.0,2019013700001,1160453,1,1,111.0,0.0,35,10,101,24,2414,120000,5.079181246047625,16.0
882,1952351,2019,201901,862312,2019000285073,335.0,2019008623121,380236,1,2,485.0,1.0,28,11,114,52,5200,61000,4.785329835010767,17.0
950,1504657,2019,201901,660522,2019000407316,164.0,2019006605221,140026,1,1,165.0,0.0,65,11,115,50,5098,200000,5.301029995663981,17.0
102,2703947,2019,201901,1204899,2019000062814,48.0,2019012048991,150248,1,1,47.0,1.0,32,10,101,23,2304,40000,4.6020599913279625,16.0
897,3098650,2019,201901,1366329,2019000328485,42.0,2019013663291,1070253,1,2,52.0,1.0,59,6,63,0,0,14400,4.158362492095249,12.0
504,2768118,2019,201901,1230061,2019000410355,35.0,2019012300611,480348,1,1,34.0,0.0,42,6,61,0,0,95000,4.977723605288848,12.0
297,1108912,2019,201901,478751,2019001409833,97.0,2019004787511,320717,1,1,97.0,1.0,60,6,65,0,0,30400,4.482873583608754,12.0
816,2698084,2019,201901,1202614,2019000031632,95.0,2019012026141,680548,1,3,184.0,1.0,22,10,101,61,6109,3000,3.4771212547196626,16.0
208,1673227,2019,201901,736496,2019000263026,49.0,2019007364961,100529,1,1,49.0,1.0,26,10,101,61,6107,65000,4.812913356642856,16.0
725,2183976,2019,201901,961825,2019001094162,70.0,2019009618251,510037,1,2,76.0,1.0,37,7,71,0,0,44500,4.648360010980932,13.0
663,1678451,2019,201901,738722,2019000384048,90.0,2019007387221,160029,1,2,101.0,1.0,63,11,115,23,2313,81000,4.9084850188786495,17.0
813,2875755,2019,201901,1272511,2019000992816,93.0,2019012725111,591648,1,1,93.0,1.0,64,3,30,0,0,19200,4.283301228703549,9.0
870,2453815,2019,201901,1087516,2019000382342,56.0,2019010875161,310542,1,1,56.0,0.0,45,7,71,0,0,140000,5.146128035678238,13.0
993,1459292,2019,201901,638863,2019001119371,458.0,2019006388631,70325,1,1,458.0,0.0,57,11,116,59,5901,65000,4.812913356642856,17.0
443,849601,2019,201901,364944,2019001403479,49.0,2019003649441,110412,1,1,49.0,1.0,69,10,101,61,6109,42100,4.624282095835668,16.0
108,2999816,2019,201901,1323572,2019000048808,78.0,2019013235721,5109051,1,2,37.0,1.0,17,4,40,0,0,5000,3.6989700043360187,10.0
190,1096093,2019,201901,473325,2019001257783,14.0,2019004733251,250117,1,1,14.0,0.0,61,6,63,0,0,39000,4.5910646070264995,12.0
563,2668354,2019,201901,1183905,2019001137133,53.0,2019011839051,160447,1,1,53.0,0.0,74,11,116,50,5007,168700,5.227115082589125,17.0
498,1058534,2019,201901,457513,2019000815925,211.0,2019004575131,320817,1,1,211.0,1.0,69,7,71,0,0,21100,4.324282455297693,13.0
123,565208,2019,201901,234931,2019000661249,43.0,2019002349311,82408,1,1,44.0,1.0,71,6,63,0,0,28100,4.44870631990508,12.0
667,1652927,2019,201901,725799,2019001112913,187.0,2019007257991,170028,1,1,188.0,1.0,30,11,114,23,2300,44000,4.643452676486188,17.0
860,2470719,2019,201901,1094788,2019000577680,23.0,2019010947881,30042,1,1,23.0,0.0,72,6,65,0,0,34400,4.53655844257153,12.0
14,1625634,2019,201901,713211,2019001311494,29.0,2019007132111,10027,1,3,64.0,0.0,54,8,81,0,0,62000,4.7923916894982534,14.0
333,1504944,2019,201901,660646,2019000411708,40.0,2019006606461,40026,1,2,43.0,1.0,22,6,63,0,0,9200,3.963787827345555,12.0
759,1672006,2019,201901,735976,2019000234056,16.0,2019007359761,280029,1,1,16.0,1.0,59,6,63,0,0,52000,4.7160033436347994,12.0
422,394022,2019,201901,168882,2019000860324,43.0,2019001688821,30006,1,2,33.0,1.0,79,6,63,0,0,7700,3.886490725172482,12.0
672,1261887,2019,201901,549270,2019000663002,51.0,2019005492701,170321,1,2,55.0,1.0,61,11,114,19,1901,405000,5.607455023214668,17.0
363,689431,2019,201901,295106,2019000258034,107.0,2019002951061,1050312,1,2,107.0,1.0,72,7,71,0,0,59300,4.773054693364262,13.0
800,3099083,2019,201901,1366501,2019000336497,108.0,2019013665011,1090153,1,2,96.0,1.0,66,8,81,0,0,23300,4.367355921026019,14.0
486,848830,2019,201901,364596,2019001397681,43.0,2019003645961,90112,1,1,43.0,1.0,61,7,71,0,0,10000,4.0,13.0
767,3154119,2019,201901,1388880,2019001383778,227.0,2019013888801,1160353,1,1,227.0,0.0,28,10,101,60,6000,100000,5.0,16.0
234,2896175,2019,201901,1280545,2019001102577,64.0,2019012805451,180048,1,1,65.0,1.0,72,6,65,0,0,27000,4.431363764158987,12.0
609,37115,2019,201901,17576,2019001053532,17.0,2019000175761,250001,1,1,17.0,1.0,62,4,40,0,0,13400,4.127104798364807,10.0
413,839953,2019,201901,360765,2019001333645,62.0,2019003607651,1050212,1,1,61.0,0.0,43,7,71,0,0,58000,4.763427993562937,13.0
889,1195776,2019,201901,518941,2019000796379,17.0,2019005189411,120019,1,1,16.0,1.0,60,8,81,0,0,25000,4.3979400086720375,14.0
478,2043712,2019,201901,899531,2019000971650,383.0,2019008995311,310236,1,2,557.0,0.0,70,6,64,0,0,46400,4.666517980554881,12.0
78,2132064,2019,201901,939390,2019000348995,56.0,2019009393901,480037,1,2,196.0,0.0,31,6,63,0,0,24100,4.382017042574868,12.0
567,803256,2019,201901,344789,2019001070921,4.0,2019003447891,630012,1,1,4.0,0.0,60,7,71,0,0,10040,4.001733712809001,13.0
779,488031,2019,201901,203849,2019001223485,114.0,2019002038491,130406,1,1,114.0,0.0,35,11,115,55,5501,138000,5.139879086401237,17.0
