PARID,MUNICIPALITY,LOCATION,SALE DATE,RECORDED DATE
0001J00062002200,19th Ward - PITTSBURGH,812 GRANDVIEW AVE UNIT 2-B PITTSBURGH PA 15211,1/12/2015,3/16/2015
0001L00008000000,1st Ward  - PITTSBURGH,200 1ST AVE PITTSBURGH PA 15222,3/31/2015,4/7/2015
0001M00001000000,1st Ward  - PITTSBURGH,217 FORT PITT BLVD PITTSBURGH PA 15222,3/31/2015,4/7/2015
0001M00008000000,1st Ward  - PITTSBURGH,245 FORT PITT BLVD PITTSBURGH PA 15222,3/23/2015,4/8/2015
0001M00123000000,1st Ward  - PITTSBURGH,113 SMITHFIELD ST PITTSBURGH PA 15222,9/18/2015,9/21/2015
0001M00138000000,1st Ward  - PITTSBURGH,116 SMITHFIELD ST PITTSBURGH PA 15222,5/29/2015,6/3/2015
0001N00035000000,19th Ward - PITTSBURGH,155 LABELLE ST PITTSBURGH PA 15211,4/28/2015,4/29/2015
0001N00039000000,19th Ward - PITTSBURGH,147 LABELLE ST PITTSBURGH PA 15211,9/22/2015,10/21/2015
0001N00053000000,19th Ward - PITTSBURGH,810 VAUX WAY PITTSBURGH PA 15211,10/15/2015,10/16/2015
0001N00059000000,19th Ward - PITTSBURGH,116 BIGHAM ST PITTSBURGH PA 15211,10/21/2015,10/27/2015
0001N00060000000,19th Ward - PITTSBURGH,118 BIGHAM ST PITTSBURGH PA 15211,3/10/2015,4/7/2015
0001N00066000000,19th Ward - PITTSBURGH,130 BIGHAM ST PITTSBURGH PA 15211,6/5/2015,6/9/2015
0001N00093000000,19th Ward - PITTSBURGH,234 BIGHAM ST PITTSBURGH PA 15211,7/10/2015,7/13/2015
0001N00112000400,19th Ward - PITTSBURGH,143 BIGHAM ST PITTSBURGH PA 15211,12/18/2015,12/23/2015
0001N00155000000,19th Ward - PITTSBURGH,144 AMABELL ST PITTSBURGH PA 15211,8/4/2015,10/14/2015
0001N00234000000,19th Ward - PITTSBURGH,146 MERRIMAC ST PITTSBURGH PA 15211,2/12/2015,2/17/2015
0001N00247000000,19th Ward - PITTSBURGH,165 MERRIMAC ST PITTSBURGH PA 15211,10/7/2015,10/8/2015
0001N00247000000,19th Ward - PITTSBURGH,165 MERRIMAC ST PITTSBURGH PA 15211,11/20/2015,11/24/2015
0001N00281004A00,19th Ward - PITTSBURGH,0 GRANDVIEW AVE PITTSBURGH PA 15211,7/17/2015,7/23/2015
0001N00281004B00,19th Ward - PITTSBURGH,501 GRANDVIEW AVE PITTSBURGH PA 15211,7/17/2015,7/23/2015
0001N00313000000,19th Ward - PITTSBURGH,152 ULYSSES ST PITTSBURGH PA 15211,2/9/2015,2/10/2015
0001N00322000100,19th Ward - PITTSBURGH,141 ULYSSES ST PITTSBURGH PA 15211,7/30/2015,8/5/2015
0002A00125000000,2nd Ward - PITTSBURGH,339 5TH AVE PITTSBURGH PA 15222,9/9/2015,9/25/2015
0002A00127000000,2nd Ward - PITTSBURGH,525 SMITHFIELD ST PITTSBURGH PA 15222,9/24/2015,9/25/2015
0002A00127000000,2nd Ward - PITTSBURGH,525 SMITHFIELD ST PITTSBURGH PA 15222,9/24/2015,9/25/2015
0002A0012700A100,2nd Ward - PITTSBURGH,525 SMITHFIELD ST PITTSBURGH PA 15222,9/24/2015,9/25/2015
0002A0012700A200,2nd Ward - PITTSBURGH,525 SMITHFIELD ST PITTSBURGH PA 15222,9/24/2015,9/25/2015
0002A00215000000,2nd Ward - PITTSBURGH,16 MONTOUR WAY PITTSBURGH PA 15222,5/29/2015,6/16/2015
0002A00240000A00,2nd Ward - PITTSBURGH,425 6TH AVE PITTSBURGH PA 15219,5/29/2015,6/16/2015
0002C00400000000,3rd Ward - PITTSBURGH,0 MARIO LEMIEUX PL PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002C00401000000,3rd Ward - PITTSBURGH,0 BEDFORD AVE PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002C00403000000,3rd Ward - PITTSBURGH,0 MARIO LEMIEUX PL PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002C00405000000,3rd Ward - PITTSBURGH,0 CENTRE AVE PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002C00407000000,3rd Ward - PITTSBURGH,0 BEDFORD AVE PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002C00409000000,3rd Ward - PITTSBURGH,0 MARIO LEMIEUX PL PITTSBURGH PA 15219,8/4/2015,8/6/2015
0002D00314000000,3rd Ward - PITTSBURGH,88 ROBERTS ST PITTSBURGH PA 15219,10/27/2015,11/10/2015
0002D00372000000,3rd Ward - PITTSBURGH,335 MILLER ST PITTSBURGH PA 15219,3/5/2015,3/12/2015
0002D00386000000,3rd Ward - PITTSBURGH,0 MILLER ST PITTSBURGH PA 15219,3/5/2015,3/12/2015
0002D00389000000,3rd Ward - PITTSBURGH,0 MILLER ST PITTSBURGH PA 15219,3/5/2015,3/12/2015
0001C01662F00500,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 5-F PITTSBURGH PA 15222,9/14/2015,9/15/2015
0001C01662H01400,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 14-H PITTSBURGH PA 15222,12/18/2015,12/31/2015
0001C01662H01600,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 16 H PITTSBURGH PA 15222,4/20/2015,4/21/2015
0001C01662H01700,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-H PITTSBURGH PA 15222,1/30/2015,2/3/2015
0001C01662H01700,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-H PITTSBURGH PA 15222,8/3/2015,8/11/2015
0001C01662J01700,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-J PITTSBURGH PA 15222,5/6/2015,5/7/2015
0001C01662L02300,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 23-L PITTSBURGH PA 15222,11/6/2015,11/19/2015
0001C01662L02600,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 26-L PITTSBURGH PA 15222,12/5/2015,12/29/2015
0001C01662M01400,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 14-M PITTSBURGH PA 15222,3/25/2015,3/31/2015
0001C01662N01700,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 17-N PITTSBURGH PA 15222,5/28/2015,5/28/2015
0001C01662O01000,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 10-O PITTSBURGH PA 15222,3/25/2015,4/1/2015
0001C01662O01200,2nd Ward - PITTSBURGH,320 FORT DUQUESNE BLVD UNIT 12-O PITTSBURGH PA 15222,12/10/2015,12/10/2015
0001D00023004B00,2nd Ward - PITTSBURGH,11 5TH AVE PITTSBURGH PA 15222,8/3/2015,8/6/2015
0001D00153000000,1st Ward  - PITTSBURGH,501 MARKET ST PITTSBURGH PA 15222,1/9/2015,2/6/2015
0001D00156000000,1st Ward  - PITTSBURGH,507 MARKET ST PITTSBURGH PA 15222,1/9/2015,2/6/2015
0001D00181000000,2nd Ward - PITTSBURGH,600 -602 LIBERTY AVE PITTSBURGH PA 15222,4/7/2015,4/8/2015
0001D00259C50700,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,8/27/2015,9/2/2015
0001D00259C51500,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,1/8/2015,1/14/2015
0001D00259C51900,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,8/17/2015,8/17/2015
0001D00259C52000,2nd Ward - PITTSBURGH,301 5TH AVE 520 PITTSBURGH PA 15222,9/1/2015,9/9/2015
0001D00259C60400,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,6/26/2015,6/29/2015
0001D00259C60500,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,6/26/2015,6/29/2015
0001D00259C70500,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,1/28/2015,2/6/2015
0001D00259C70700,2nd Ward - PITTSBURGH,301 5TH AVE PITTSBURGH PA 15222,4/9/2015,4/14/2015
0001D00259C72200,2nd Ward - PITTSBURGH,301 5TH AVE UNIT 722 PITTSBURGH PA 15222,5/11/2015,5/11/2015
0001G00111000000,1st Ward  - PITTSBURGH,161 1ST AVE PITTSBURGH PA 15222,10/14/2015,10/14/2015
0001G00112000000,1st Ward  - PITTSBURGH,101 MARKET ST PITTSBURGH PA 15222,10/15/2015,10/15/2015
0001G00224070100,1st Ward  - PITTSBURGH,151 FORT PITT BLVD UNIT 701 PITTSBURGH PA 15222,6/15/2015,6/19/2015
0001G00224080500,1st Ward  - PITTSBURGH,151 FORT PITT BLVD UNIT 805 PITTSBURGH PA 15222,9/8/2015,10/27/2015
0001G00224090600,1st Ward  - PITTSBURGH,151 FORT PITT BLVD UNIT 906 PITTSBURGH PA 15222,12/18/2015,12/22/2015
0001G00224100600,1st Ward  - PITTSBURGH,151 FORT PITT BLVD UNIT 1006 PITTSBURGH PA 15222,7/1/2015,7/30/2015
0001G00235000000,1st Ward  - PITTSBURGH,20 STANWIX ST PITTSBURGH PA 15222,8/14/2015,8/17/2015
0001H00046000000,1st Ward  - PITTSBURGH,209 1ST AVE PITTSBURGH PA 15222,7/20/2015,7/21/2015
0001H00187000000,1st Ward  - PITTSBURGH,241 4TH AVE PITTSBURGH PA 15222,5/12/2015,5/26/2015
0001H00327040300,1st Ward  - PITTSBURGH,300 4TH AVE UNIT 403 PITTSBURGH PA 15222,4/24/2015,5/8/2015
0001H00327050100,1st Ward  - PITTSBURGH,300 4TH AVE UNIT 501 PITTSBURGH PA 15222,11/17/2015,12/2/2015
0001H00327070100,1st Ward  - PITTSBURGH,300 4TH AVE UNIT 701 PITTSBURGH PA 15222,4/2/2015,2/19/2015
