year_month,price
2016-03,1.257363636
2016-04,1.23027619
2016-05,1.249738095
2016-06,1.358813636
2016-07,1.4546
2016-08,1.411904348
2016-09,1.522880952
2016-10,1.556047619
2016-11,1.607761905
2016-12,1.410190476
2017-01,1.486925
2017-02,1.455252632
2017-03,1.413869565
2017-04,1.358942105
2017-05,1.332045455
2017-06,1.242454545
2017-07,1.32525
2017-08,1.335408696
2017-09,1.32802381
2017-10,1.261204545
2017-11,1.259504762
2017-12,1.2319
2018-01,1.240904762
2018-02,1.209010526
2018-03,1.197571429
2018-04,1.172528571
2018-05,1.203136364
2018-06,1.161442857
2018-07,1.110571429
2018-08,1.031821739
2018-09,0.999289474
2018-10,1.1485
2018-11,1.121785714
2018-12,1.0304
2019-01,1.0335
2019-02,0.998205263
2019-03,0.964738095
2019-04,0.919947619
2019-05,0.926630435
2019-06,1.008205
2019-07,1.061282609
2019-08,0.94885
2019-09,0.99752381
2019-10,0.973673913
2019-11,1.099990476
2019-12,1.296119048
2020-01,1.135045455
2020-02,1.041715
2020-03,1.149772727
2020-04,1.137685714
2020-05,1.060619048
2020-06,0.9681
2020-07,1.039977273
2020-08,1.188795238
2020-09,1.214181818
2020-10,1.074022727
2020-11,1.12222381
2020-12,1.229022727
2021-01,1.245875
2021-02,1.271005
2021-03,1.300326087
2021-04,1.326185714
2021-05,1.50452381
2021-06,1.563345455
2021-07,1.687931818
2021-08,1.821504545
2021-09,1.902363636
2021-10,2.027690476
2021-11,2.224381818
2021-12,2.343869565
2022-01,2.36402381
2022-02,2.460945
2022-03,2.228586957
2022-04,2.255725
2022-05,2.185772727
2022-06,2.308713636
2022-07,2.178404762
2022-08,2.243478261
2022-09,2.244545455
2022-10,1.989047619
2022-11,1.646818182
2022-12,1.660454545
2023-01,1.589472727
2023-02,1.81267
2023-03,1.763569565
2023-04,1.879125
2023-05,1.84176087
2023-06,1.755845455
2023-07,1.593847619
2023-08,1.556726087
2023-09,1.526071429
2023-10,1.552536364
2023-11,1.344531579
2023-12,1.542652381
2024-01,1.847034783
2024-02,1.922809524
2024-03,1.900404762
2024-04,0.863690909
2024-05,2.116108696
2024-06,2.277275
2024-07,2.371608696
2024-08,2.436863636
2024-09,2.52665625
2024-10,
