county_fips,dem_share_2000,dem_share_2004,dem_share_2008,dem_share_2012,dem_share_2016,dem_share_2020,dem_share_2024,total_votes_2000,total_votes_2004,total_votes_2008,total_votes_2012,total_votes_2016,total_votes_2020,total_votes_2024
49027,0.15310162780466344,0.13290870488322717,0.17184311947404216,0.08779792218374415,0.10044278722908413,0.0,0.11369797480465635,4775.0,4877.0,4739.0,5026.0,5242.0,6190.0,6387.0
49029,0.18329466357308585,0.12509939040551285,0.17225,0.08921850785919859,0.15325365205843294,0.0,0.19158023184868822,3171.0,3841.0,4161.0,4597.0,5192.0,6606.0,6760.0
49031,0.17523056653491437,0.1599479843953186,0.18170103092783504,0.0959792477302205,0.06983655274888559,0.0,0.09915611814345991,781.0,773.0,798.0,782.0,729.0,871.0,963.0
49033,0.17117117117117117,0.10572259941804074,0.15634517766497463,0.08316633266533066,0.11542730299667037,0.0,0.15017543859649124,903.0,1037.0,1006.0,1007.0,1109.0,1369.0,1447.0
49035,0.38535468779664783,0.3865734750922011,0.5004184573625876,0.3950367338995237,0.5602409638554217,0.3702354940519544,0.5526066561257479,307258.0,362138.0,363749.0,381799.0,418868.0,546581.0,509637.0
49037,0.40315858740951965,0.3908140250153783,0.47700237906423476,0.4103203529637445,0.43567313846810324,0.0,0.4166935744268647,4744.0,4950.0,5130.0,5307.0,5447.0,6877.0,6329.0
49039,0.17319794050343248,0.14512388624435493,0.19662447257383966,0.10441082463243129,0.13718644944401345,0.0,0.1517636754518672,7430.0,8507.0,8771.0,9547.0,10164.0,12625.0,12944.0
49041,0.15362020854751066,0.1223892510309964,0.17528698568296144,0.09288860918816866,0.09347679892400806,0.0,0.11484854116335254,7077.0,7641.0,8007.0,8069.0,8654.0,10362.0,10926.0
49043,0.42724486953291857,0.4678468450345336,0.5781174187287724,0.4760556735079028,0.5888652164162368,0.0,0.5753888560740303,12121.0,15312.0,16809.0,17488.0,20641.0,26086.0,25876.0
49045,0.3388380758807588,0.25320335969591073,0.34644639885904444,0.24074074074074073,0.29049676025917925,0.0,0.28931122140176735,12480.0,16664.0,17337.0,19261.0,21829.0,31506.0,34006.0
49047,0.1708128078817734,0.1293949304987735,0.14763203069776834,0.08731826939919425,0.0920869967607589,0.0,0.12552247443894282,8397.0,9957.0,10151.0,11583.0,12797.0,15303.0,15832.0
