,country,Code,year,life_expectancy
57,Democratic Republic of Congo,COD,2023,61.895
58,Denmark,DNK,2023,81.9328
59,Djibouti,DJI,2023,65.9865
60,Dominica,DMA,2023,71.1325
61,Dominican Republic,DOM,2023,73.7201
62,East Timor,TLS,2023,67.6894
63,Ecuador,ECU,2023,77.3924
64,Egypt,EGY,2023,71.6335
65,El Salvador,SLV,2023,72.0993
66,England and Wales,,1949,68.47
67,Equatorial Guinea,GNQ,2023,63.7071
68,Eritrea,ERI,2023,68.6239
69,Estonia,EST,2023,79.1535
70,Eswatini,SWZ,2023,64.1227
71,Ethiopia,ETH,2023,67.315
72,Europe,,2023,79.0594
73,Falkland Islands,FLK,2023,79.2132
74,Faroe Islands,FRO,2023,80.1792
75,Fiji,FJI,2023,67.3157
76,Finland,FIN,2023,81.9102
77,France,FRA,2023,83.3253
78,French Guiana,GUF,2023,76.9781
79,French Polynesia,PYF,2023,84.0698
80,Gabon,GAB,2023,68.3367
81,Gambia,GMB,2023,65.8603
82,Georgia,GEO,2023,74.4965
83,Germany,DEU,2023,81.3777
84,Ghana,GHA,2023,65.4979
85,Gibraltar,GIB,2023,83.553
86,Greece,GRC,2023,81.8568
87,Greenland,GRL,2023,70.055
88,Grenada,GRD,2023,75.2052
89,Guadeloupe,GLP,2023,82.0503
90,Guam,GUM,2023,77.2093
91,Guatemala,GTM,2023,72.6023
92,Guernsey,GGY,2023,83.2744
93,Guinea,GIN,2023,60.7405
