,country,Code,year,gini,World regions according to OWID
242,Sudan (former),,2023,,Africa
243,Suriname,SUR,2023,,South America
244,Suriname (urban),,1999,0.5753989,
245,Sweden,SWE,2023,0.2927833,Europe
246,Switzerland,CHE,2023,,Europe
247,Syria,SYR,2023,,Asia
248,Taiwan,TWN,2023,,Asia
249,Tajikistan,TJK,2024,0.36108002,
250,Tanzania,TZA,2023,,Africa
251,Thailand,THA,2023,0.3349489,Asia
252,Togo,TGO,2023,,Africa
253,Tokelau,TKL,2023,,Oceania
254,Tonga,TON,2023,,Oceania
255,Trinidad and Tobago,TTO,2023,,North America
256,Tunisia,TUN,2023,,Africa
257,Turkey,TUR,2023,,Asia
258,Turkmenistan,TKM,2023,,Asia
259,Turks and Caicos Islands,TCA,2023,,North America
260,Tuvalu,TUV,2023,,Oceania
261,USSR,OWID_USS,2023,,Europe
262,Uganda,UGA,2023,,Africa
263,Ukraine,UKR,2023,,Europe
264,United Arab Emirates,ARE,2023,,Asia
265,United Kingdom,GBR,2023,,Europe
266,United States,USA,2023,0.41818878,North America
267,United States Virgin Islands,VIR,2023,,North America
268,Uruguay,URY,2024,0.39984146,
269,Uruguay (urban),,2005,0.44727567,
270,Uzbekistan,UZB,2024,0.34563366,
271,Vanuatu,VUT,2023,,Oceania
272,Vatican,VAT,2023,,Europe
273,Venezuela,VEN,2023,,South America
274,Vietnam,VNM,2023,,Asia
275,Wallis and Futuna,WLF,2023,,Oceania
276,West Germany,OWID_GFR,2023,,Europe
277,Western Sahara,ESH,2023,,Africa
278,Yemen,YEM,2023,,Asia
279,Yemen Arab Republic,OWID_YAR,2023,,Asia
280,Yemen People's Republic,OWID_YPR,2023,,Asia
281,Yugoslavia,OWID_YGS,2023,,Europe
282,Zambia,ZMB,2023,,Africa
283,Zimbabwe,ZWE,2023,,Africa
