,city,avg_temp,state_id,county_fips,lat,lng,population,timezone,median_income
789,Waco,18.54272430107527,GA,13143,33.7026,-85.1893,685,America/New_York,35781
790,Waco,18.54272430107527,NC,37045,35.3622,-81.4287,216,America/New_York,23000
793,Warren,8.52034129258198,OH,39155,41.239,-80.8174,39057,America/New_York,29376
794,Warren,8.52034129258198,PA,42123,41.8434,-79.1444,9273,America/New_York,36536
801,Washington,11.918474511061238,PA,42125,40.1741,-80.2465,13361,America/New_York,35204
803,Washington,11.918474511061238,NC,37013,35.5586,-77.0545,9754,America/New_York,31712
805,Washington,11.918474511061238,GA,13317,33.7355,-82.7426,3700,America/New_York,28857
810,Washington,11.918474511061238,VA,51157,38.7122,-78.1598,61,America/New_York,68750
811,Waterbury,9.99492978518756,CT,9140,41.5582,-73.0361,199965,America/New_York,40467
817,Westminster,8.777836262323188,MD,24013,39.5796,-77.0067,20257,America/New_York,55122
818,Westminster,8.777836262323188,SC,45073,34.6656,-83.0911,2244,America/New_York,31500
823,Windsor,8.52034129258198,NC,37015,35.9928,-76.9401,3417,America/New_York,29063
825,Windsor,8.52034129258198,VA,51093,36.8095,-76.7406,2808,America/New_York,49091
827,Windsor,8.52034129258198,SC,45003,33.4809,-81.5137,243,America/New_York,50250
828,Worcester,7.341440525809555,MA,25027,42.2705,-71.8079,487014,America/New_York,45472
829,Yonkers,9.523295607566528,NY,36119,40.9466,-73.8673,209529,America/New_York,59049
