IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MRT,Mauritania,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MUS,Mauritius,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AMR,Americas,Country,MEX,Mexico,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,MCO,Monaco,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EUR,Europe,Country,MNE,Montenegro,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,MOZ,Mozambique,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),text,AFR,Africa,Country,NAM,Namibia,Year,2017,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2017-04-04T04:00:00.000Z
