,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
239,2013,60,Jānis Timma,0.0,,,,
240,2014,1,Andrew Wiggins,-1.3,,,,
241,2014,2,Jabari Parker,-0.8,,,,
242,2014,3,Joel Embiid,6.8,,,,
243,2014,4,Aaron Gordon,0.4,,,,
244,2014,5,Dante Exum,-2.8,,,,
245,2014,6,Marcus Smart,-0.4,,,,
246,2014,7,Julius Randle,1.1,,,,
247,2014,8,Nik Stauskas,-3.0,,,,
248,2014,9,Noah Vonleh,-2.5,,,,
249,2014,10,Elfrid Payton,-1.1,,,,
250,2014,11,Doug McDermott,-2.1,,,,
251,2014,12,Dario Šarić,-0.8,,,,
252,2014,13,Zach LaVine,0.6,,,,
253,2014,14,T.J. Warren,-0.4,,,,
254,2014,15,Adreian Payne,-5.9,,,,
255,2014,16,Jusuf Nurkić,0.4,,,,
256,2014,17,James Young,-3.4,,,,
257,2014,18,Tyler Ennis,-3.4,,,,
258,2014,19,Gary Harris,-1.4,,,,
259,2014,20,Bruno Caboclo,-2.7,,,,
260,2014,21,Mitch McGary,-2.6,,,,
261,2014,22,Jordan Adams,1.7,,,,
262,2014,23,Rodney Hood,-1.2,,,,
263,2014,24,Shabazz Napier,-0.7,,,,
264,2014,25,Clint Capela,1.6,,,,
265,2014,26,P.J. Hairston,-3.9,,,,
266,2014,27,Bogdan Bogdanović,0.1,,,,
267,2014,28,C.J. Wilcox,-4.3,,,,
268,2014,29,Josh Huestis,-3.5,,,,
269,2014,30,Kyle Anderson,1.7,,,,
270,2014,31,Damien Inglis,-5.6,,,,
271,2014,32,K.J. McDaniels,-2.8,,,,
272,2014,33,Joe Harris,-0.7,,,,
273,2014,34,Cleanthony Early,-5.9,,,,
274,2014,35,Jarnell Stokes,0.1,,,,
275,2014,36,Johnny O'Bryant,-6.2,,,,
276,2014,37,DeAndre Daniels,0.0,,,,
277,2014,38,Spencer Dinwiddie,-0.1,,,,
278,2014,39,Jerami Grant,-0.4,,,,
279,2014,40,Glenn Robinson III,-1.7,,,,
280,2014,41,Nikola Jokić,10.5,,,,
281,2014,42,Nick Johnson,-6.5,,,,
282,2014,43,Edy Tavares,-0.4,,,,
283,2014,44,Markel Brown,-2.9,,,,
284,2014,45,Dwight Powell,0.8,,,,
285,2014,46,Jordan Clarkson,-1.0,,,,
286,2014,47,Russ Smith,-5.1,,,,
287,2014,48,Lamar Patterson,-5.7,,,,
288,2014,49,Cameron Bairstow,-8.1,,,,
289,2014,50,Alec Brown,0.0,,,,
290,2014,51,Thanasis Antetokounmpo,-4.1,,,,
291,2014,52,Vasilije Micić,-5.6,,,,
292,2014,53,Alessandro Gentile,0.0,,,,
