Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2014,6,Marcus Smart,-0.4,,,,
2014,7,Julius Randle,1.1,,,,
2014,8,Nik Stauskas,-3,,,,
2014,9,Noah Vonleh,-2.5,,,,
2014,10,Elfrid Payton,-1.1,,,,
2014,11,Doug McDermott,-2.1,,,,
2014,12,Dario Šarić,-0.8,,,,
2014,13,Zach LaVine,0.6,,,,
2014,14,T.J. Warren,-0.4,,,,
2014,15,Adreian Payne,-5.9,,,,
2014,16,Jusuf Nurkić,0.4,,,,
2014,17,James Young,-3.4,,,,
2014,18,Tyler Ennis,-3.4,,,,
2014,19,Gary Harris,-1.4,,,,
2014,20,Bruno Caboclo,-2.7,,,,
2014,21,Mitch McGary,-2.6,,,,
2014,22,Jordan Adams,1.7,,,,
2014,23,Rodney Hood,-1.2,,,,
2014,24,Shabazz Napier,-0.7,,,,
2014,25,Clint Capela,1.6,,,,
2014,26,P.J. Hairston,-3.9,,,,
2014,27,Bogdan Bogdanović,0.1,,,,
2014,28,C.J. Wilcox,-4.3,,,,
2014,29,Josh Huestis,-3.5,,,,
2014,30,Kyle Anderson,1.7,,,,
2014,31,Damien Inglis,-5.6,,,,
2014,32,K.J. McDaniels,-2.8,,,,
2014,33,Joe Harris,-0.7,,,,
2014,34,Cleanthony Early,-5.9,,,,
2014,35,Jarnell Stokes,0.1,,,,
2014,36,Johnny O'Bryant,-6.2,,,,
2014,37,DeAndre Daniels,0,,,,
2014,38,Spencer Dinwiddie,-0.1,,,,
2014,39,Jerami Grant,-0.4,,,,
2014,40,Glenn Robinson III,-1.7,,,,
2014,41,Nikola Jokić,10.5,,,,
2014,42,Nick Johnson,-6.5,,,,
2014,43,Edy Tavares,-0.4,,,,
2014,44,Markel Brown,-2.9,,,,
2014,45,Dwight Powell,0.8,,,,
2014,46,Jordan Clarkson,-1,,,,
2014,47,Russ Smith,-5.1,,,,
2014,48,Lamar Patterson,-5.7,,,,
2014,49,Cameron Bairstow,-8.1,,,,
2014,50,Alec Brown,0,,,,
2014,51,Thanasis Antetokounmpo,-4.1,,,,
2014,52,Vasilije Micić,-5.6,,,,
2014,53,Alessandro Gentile,0,,,,
2014,54,Nemanja Dangubić,0,,,,
2014,55,Semaj Christon,-5.1,,,,
2014,56,Devyn Marble,-5.5,,,,
2014,57,Louis Labeyrie,0,,,,
2014,58,Jordan McRae,-2.1,,,,
2014,59,Xavier Thames,0,,,,
2014,60,Cory Jefferson,-3.3,,,,
2015,1,Karl-Anthony Towns,4.3,,,,
2015,2,D'Angelo Russell,0.6,,,,
2015,3,Jahlil Okafor,-2,,,,
2015,4,Kristaps Porziņģis,2.7,,,,
2015,5,Mario Hezonja,-2.8,,,,
2015,6,Willie Cauley-Stein,-0.1,,,,
2015,7,Emmanuel Mudiay,-3.2,,,,
2015,8,Stanley Johnson,-2.7,,,,
2015,9,Frank Kaminsky,-0.2,,,,
2015,10,Justise Winslow,-2.1,,,,
2015,11,Myles Turner,0.8,,,,
2015,12,Trey Lyles,-1,,,,
2015,13,Devin Booker,1.1,,,,
2015,14,Cameron Payne,-0.6,,,,
2015,15,Kelly Oubre Jr.,-1.8,,,,
2015,16,Terry Rozier,0.2,,,,
2015,17,Rashad Vaughn,-4.7,,,,
2015,18,Sam Dekker,-1.4,,,,
2015,19,Jerian Grant,-1.6,,,,
2015,20,Delon Wright,1.9,,,,
2015,21,Justin Anderson,-1.5,,,,
2015,22,Bobby Portis,-0.5,,,,
2015,23,Rondae Hollis-Jefferson,-0.7,,,,
2015,24,Tyus Jones,0.5,,,,
2015,25,Jarell Martin,-4.3,,,,
2015,26,Nikola Milutinov,0,,,,
2015,27,Larry Nance Jr.,1.1,,,,
2015,28,R.J. Hunter,-2,,,,
2015,29,Chris McCullough,-2.5,,,,
2015,30,Kevon Looney,0.3,,,,
2015,31,Cedi Osman,-2.1,,,,
2015,32,Montrezl Harrell,2.6,,,,
2015,33,Jordan Mickey,-4.8,,,,
2015,34,Anthony Brown,-5.1,,,,
2015,35,Willy Hernangómez,0.1,,,,
2015,36,Rakeem Christmas,-4.7,,,,
2015,37,Richaun Holmes,0.1,,,,
2015,38,Darrun Hilliard,-4.7,,,,
2015,39,Juan Pablo Vaulet,0,,,,
2015,40,Josh Richardson,-0.6,,,,
2015,41,Pat Connaughton,-0.5,,,,
2015,42,Olivier Hanlan,0,,,,
2015,43,Joe Young,-4.1,,,,
2015,44,Andrew Harrison,-2.8,,,,
2015,45,Marcus Thornton,0,,,,
2015,46,Norman Powell,0.1,,,,
2015,47,Artūras Gudaitis,0,,,,
2015,48,Dakari Johnson,-0.3,,,,
2015,49,Aaron White,0,,,,
2015,50,Marcus Eriksson,0,,,,
2015,51,Tyler Harvey,0,,,,
2015,52,Satnam Singh,0,,,,
2015,53,Sir'Dominic Pointer,0,,,,
2015,54,Dani Díez,0,,,,
2015,55,Cady Lalanne,0,,,,
2015,56,Branden Dawson,-5.7,,,,
2015,57,Nikola Radičević,0,,,,
2015,58,J.P. Tokoto,0,,,,
2015,59,Dimitrios Agravanis,0,,,,
2015,60,Luka Mitrović,0,,,,
2016,1,Ben Simmons,3,,,,
2016,2,Brandon Ingram,0.1,,,,
2016,3,Jaylen Brown,0.4,,,,
2016,4,Dragan Bender,-3.9,,,,
2016,5,Kris Dunn,-1.2,,,,
2016,6,Buddy Hield,0.2,,,,
2016,7,Jamal Murray,1,,,,
2016,8,Marquese Chriss,-2.4,,,,
2016,9,Jakob Poeltl,1.2,,,,
2016,10,Thon Maker,-2.1,,,,
2016,11,Domantas Sabonis,3.3,,,,
2016,12,Taurean Prince,-2.1,,,,
2016,13,Georgios Papagiannis,-3.9,,,,
2016,14,Denzel Valentine,-1.9,,,,
2016,15,Juancho Hernangómez,-1.9,,,,
2016,16,Guerschon Yabusele,-1.4,,,,
2016,17,Wade Baldwin,-5.3,,,,
2016,18,Henry Ellenson,-3.7,,,,
2016,19,Malik Beasley,-0.9,,,,
2016,20,Caris LeVert,-0.2,,,,
2016,21,DeAndre' Bembry,-2.3,,,,
2016,22,Malachi Richardson,-6.1,,,,
2016,23,Ante Žižić,-2.6,,,,
2016,24,Timothé Luwawu-Cabarrot,-4,,,,
