,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,d_share,now,log_votes,residuals
476,2000,ARIZONA,AZ,PINAL,4021.0,US PRESIDENT,AL GORE,DEMOCRAT,19650,41290,20250821,TOTAL,0.47590215548558973,0,10.628375618880137,0.035574149481280626
480,2000,ARIZONA,AZ,SANTA CRUZ,4023.0,US PRESIDENT,AL GORE,DEMOCRAT,5233,8893,20250821,TOTAL,0.5884403463398178,0,9.09301972939964,0.19792222305289686
484,2000,ARIZONA,AZ,YAVAPAI,4025.0,US PRESIDENT,AL GORE,DEMOCRAT,24063,68228,20250821,TOTAL,0.3526851146157003,0,11.130610316760764,-0.10393634593516443
488,2000,ARIZONA,AZ,YUMA,4027.0,US PRESIDENT,AL GORE,DEMOCRAT,12055,28652,20250821,TOTAL,0.4207385173809856,0,10.262978527734342,-0.007735307856540419
492,2000,ARKANSAS,AR,ARKANSAS,5001.0,US PRESIDENT,AL GORE,DEMOCRAT,2877,6372,20250821,TOTAL,0.4515065913370998,0,8.759668671029939,0.07180301419864887
496,2000,ARKANSAS,AR,ASHLEY,5003.0,US PRESIDENT,AL GORE,DEMOCRAT,4253,8271,20250821,TOTAL,0.5142062628460887,0,9.020510699691906,0.12604047121754042
500,2000,ARKANSAS,AR,BAXTER,5005.0,US PRESIDENT,AL GORE,DEMOCRAT,6516,16708,20250821,TOTAL,0.38999281781182665,0,9.723642925617066,-0.020983928558946707
504,2000,ARKANSAS,AR,BENTON,5007.0,US PRESIDENT,AL GORE,DEMOCRAT,17277,53646,20250821,TOTAL,0.3220556984677329,0,10.890162187963373,-0.12676516472516947
508,2000,ARKANSAS,AR,BOONE,5009.0,US PRESIDENT,AL GORE,DEMOCRAT,4493,13635,20250821,TOTAL,0.3295196186285295,0,9.52039529527969,-0.07486338573164247
512,2000,ARKANSAS,AR,BRADLEY,5011.0,US PRESIDENT,AL GORE,DEMOCRAT,2122,3979,20250821,TOTAL,0.5332998240764011,0,8.288785810426928,0.16887258789639747
516,2000,ARKANSAS,AR,CALHOUN,5013.0,US PRESIDENT,AL GORE,DEMOCRAT,1017,2185,20250821,TOTAL,0.4654462242562929,0,7.68937110752969,0.12046514792427854
520,2000,ARKANSAS,AR,CARROLL,5015.0,US PRESIDENT,AL GORE,DEMOCRAT,3595,9590,20250821,TOTAL,0.3748696558915537,0,9.168476167877484,-0.018096418633646583
524,2000,ARKANSAS,AR,CHICOT,5017.0,US PRESIDENT,AL GORE,DEMOCRAT,2820,4452,20250821,TOTAL,0.633423180592992,0,8.401108712395436,0.2653519745608773
528,2000,ARKANSAS,AR,CLARK,5019.0,US PRESIDENT,AL GORE,DEMOCRAT,4661,8626,20250821,TOTAL,0.5403431486204499,0,9.062536177207788,0.1508139700921277
532,2000,ARKANSAS,AR,CLAY,5021.0,US PRESIDENT,AL GORE,DEMOCRAT,3527,5900,20250821,TOTAL,0.5977966101694915,0,8.68270762989381,0.22058979645837573
536,2000,ARKANSAS,AR,CLEBURNE,5023.0,US PRESIDENT,AL GORE,DEMOCRAT,4120,10207,20250821,TOTAL,0.40364455765651025,0,9.230829038403499,0.008655636709009706
540,2000,ARKANSAS,AR,CLEVELAND,5025.0,US PRESIDENT,AL GORE,DEMOCRAT,1414,3181,20250821,TOTAL,0.44451430367808864,0,8.064950891749143,0.08734870053299587
544,2000,ARKANSAS,AR,COLUMBIA,5027.0,US PRESIDENT,AL GORE,DEMOCRAT,4003,9307,20250821,TOTAL,0.430106371548297,0,9.13852208418571,0.03811206481049806
