,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE
91670,0023G00110000000,15212,8/7/84,14500.0,2.0,1910.0,6.0,3.0,1.0,0.0,1764.0,4.161368002234975
63353,0014G00093000000,15210,6/19/15,29750.0,2.0,1900.0,5.0,3.0,1.0,0.0,1324.0,4.4734869700645685
27747,0082R00106000000,15206,12/13/16,212930.0,2.0,1920.0,10.0,5.0,2.0,2.0,2974.0,5.328236854094916
73891,0062A00005000000,15216,8/20/15,20000.0,2.0,1907.0,7.0,4.0,1.0,0.0,1064.0,4.301029995663981
83724,0063E00210000000,15216,4/19/17,184900.0,2.0,1953.0,7.0,3.0,1.0,1.0,1596.0,5.266936911159173
208362,0178F00112000000,15218,5/27/15,42000.0,2.0,1947.0,5.0,2.0,1.0,0.0,850.0,4.623249290397901
172021,0299L00060000000,15221,7/10/01,40000.0,1.0,2004.0,6.0,3.0,2.0,1.0,2184.0,4.6020599913279625
164254,0309D00202000000,15034,11/23/11,11500.0,1.0,1939.0,5.0,1.0,1.0,0.0,624.0,4.060697840353612
204140,0507P00083000000,15143,8/25/93,46500.0,2.0,1920.0,6.0,3.0,1.0,1.0,1210.0,4.6674529528899535
5392,0028L00209000000,15213,11/15/13,200000.0,2.0,1910.0,10.0,5.0,3.0,0.0,1843.0,5.301029995663981
34884,0174B00181000000,15208,3/15/02,30000.0,1.8,1900.0,6.0,3.0,1.0,0.0,1332.0,4.477121254719663
340519,2372L00204000000,16046,11/13/14,301100.0,2.0,2014.0,7.0,3.0,2.0,1.0,2542.0,5.478710755512759
324021,1355R00060000000,15044,7/3/13,209000.0,1.0,1970.0,7.0,3.0,2.0,1.0,2146.0,5.320146286111054
60758,0012K00263000000,15203,8/25/06,50000.0,2.0,1900.0,9.0,3.0,1.0,0.0,1640.0,4.698970004336019
22959,0080H00029000000,15201,3/29/18,379900.0,3.0,1900.0,7.0,4.0,3.0,1.0,2184.0,5.57966929355472
183911,0079L00066000000,15209,8/5/03,9000.0,2.0,1923.0,8.0,4.0,2.0,0.0,1260.0,3.9542425094393248
43269,0086S00240000000,15217,5/1/13,500000.0,2.0,1930.0,8.0,5.0,3.0,1.0,2935.0,5.698970004336019
113466,0133J00305000000,15120,10/2/96,86500.0,2.0,1941.0,7.0,3.0,1.0,1.0,1516.0,4.937016107464814
254472,0477B00178000000,15241,9/24/08,90000.0,1.0,1920.0,8.0,5.0,2.0,0.0,2244.0,4.954242509439325
357954,0251D00087000000,15234,8/29/83,52000.0,1.5,1953.0,6.0,3.0,1.0,0.0,1275.0,4.7160033436347994
318141,0615A00021000000,15101,4/5/13,165500.0,1.0,1946.0,6.0,3.0,1.0,1.0,1482.0,5.218797998111738
359889,0610M00312000000,15237,6/5/02,175000.0,2.0,1977.0,7.0,3.0,2.0,0.0,1770.0,5.243038048686294
80888,0036G00162000000,15216,8/14/17,100000.0,1.0,1958.0,5.0,3.0,1.0,0.0,900.0,5.0
389445,0365G00145000000,15147,2/17/09,70850.0,1.0,1935.0,6.0,3.0,1.0,1.0,1318.0,4.8503398545834795
309944,1418K00256000000,15037,3/10/16,4092.0,2.0,1939.0,4.0,2.0,1.0,0.0,1481.0,3.6119356250401227
147086,0248D00059000000,15227,2/23/10,66000.0,2.0,1947.0,6.0,3.0,1.0,1.0,1490.0,4.819543935541868
