PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1942,28,0.00215,0.00215,0.5,92653,199,92553,4086958,44.11
USA,f,1942,29,0.00228,0.00227,0.5,92454,210,92349,3994405,43.20
USA,f,1942,30,0.00235,0.00235,0.5,92244,217,92135,3902056,42.30
USA,f,1942,31,0.00243,0.00243,0.5,92027,224,91915,3809921,41.40
USA,f,1942,32,0.00251,0.00250,0.5,91803,230,91688,3718006,40.50
USA,f,1942,33,0.00275,0.00275,0.5,91573,252,91448,3626317,39.60
USA,f,1942,34,0.00296,0.00296,0.5,91322,270,91187,3534870,38.71
USA,f,1942,35,0.00311,0.00311,0.5,91051,283,90910,3443683,37.82
USA,f,1942,36,0.00338,0.00338,0.5,90769,307,90615,3352773,36.94
USA,f,1942,37,0.00347,0.00346,0.5,90462,313,90305,3262158,36.06
USA,f,1942,38,0.00373,0.00373,0.5,90149,336,89981,3171853,35.18
USA,f,1942,39,0.00415,0.00414,0.5,89813,372,89627,3081872,34.31
USA,f,1942,40,0.00426,0.00425,0.5,89441,380,89251,2992245,33.45
USA,f,1942,41,0.00425,0.00424,0.5,89061,378,88872,2902994,32.60
USA,f,1942,42,0.00436,0.00435,0.5,88683,386,88490,2814121,31.73
USA,f,1942,43,0.00514,0.00512,0.5,88297,452,88071,2725631,30.87
USA,f,1942,44,0.00566,0.00565,0.5,87845,496,87597,2637560,30.03
USA,f,1942,45,0.00580,0.00578,0.5,87349,505,87096,2549963,29.19
USA,f,1942,46,0.00636,0.00634,0.5,86844,550,86569,2462867,28.36
USA,f,1942,47,0.00652,0.00650,0.5,86293,560,86013,2376299,27.54
USA,f,1942,48,0.00711,0.00708,0.5,85733,607,85429,2290286,26.71
USA,f,1942,49,0.00788,0.00785,0.5,85126,668,84792,2204856,25.90
USA,f,1942,50,0.00822,0.00819,0.5,84458,691,84112,2120065,25.10
USA,f,1942,51,0.00873,0.00869,0.5,83766,728,83402,2035953,24.31
USA,f,1942,52,0.00909,0.00905,0.5,83038,752,82662,1952550,23.51
USA,f,1942,53,0.01040,0.01034,0.5,82286,851,81861,1869888,22.72
USA,f,1942,54,0.01155,0.01148,0.5,81435,935,80968,1788027,21.96
USA,f,1942,55,0.01187,0.01180,0.5,80500,950,80025,1707059,21.21
USA,f,1942,56,0.01272,0.01264,0.5,79550,1006,79048,1627034,20.45
USA,f,1942,57,0.01306,0.01297,0.5,78545,1019,78035,1547986,19.71
USA,f,1942,58,0.01432,0.01422,0.5,77526,1102,76975,1469951,18.96
USA,f,1942,59,0.01632,0.01619,0.5,76424,1237,75805,1392976,18.23
USA,f,1942,60,0.01719,0.01704,0.5,75186,1281,74546,1317171,17.52
USA,f,1942,61,0.01828,0.01811,0.5,73905,1339,73236,1242625,16.81
USA,f,1942,62,0.01935,0.01917,0.5,72566,1391,71871,1169390,16.11
USA,f,1942,63,0.02299,0.02272,0.5,71176,1617,70367,1097519,15.42
USA,f,1942,64,0.02664,0.02629,0.5,69558,1829,68644,1027152,14.77
USA,f,1942,65,0.02707,0.02670,0.5,67729,1809,66825,958508,14.15
USA,f,1942,66,0.02866,0.02826,0.5,65921,1863,64989,891683,13.53
USA,f,1942,67,0.02899,0.02857,0.5,64058,1830,63143,826694,12.91
USA,f,1942,68,0.03354,0.03299,0.5,62228,2053,61201,763551,12.27
USA,f,1942,69,0.04010,0.03931,0.5,60175,2365,58992,702350,11.67
USA,f,1942,70,0.04237,0.04149,0.5,57810,2399,56610,643357,11.13
USA,f,1942,71,0.04532,0.04432,0.5,55411,2456,54183,586747,10.59
USA,f,1942,72,0.04725,0.04616,0.5,52955,2445,51733,532564,10.06
USA,f,1942,73,0.05526,0.05377,0.5,50511,2716,49153,480831,9.52
USA,f,1942,74,0.06310,0.06117,0.5,47795,2923,46333,431678,9.03
USA,f,1942,75,0.06466,0.06264,0.5,44871,2811,43466,385346,8.59
USA,f,1942,76,0.07029,0.06790,0.5,42061,2856,40633,341880,8.13
USA,f,1942,77,0.07098,0.06855,0.5,39205,2687,37861,301247,7.68
USA,f,1942,78,0.08152,0.07833,0.5,36517,2860,35087,263386,7.21
USA,f,1942,79,0.10787,0.10235,0.5,33657,3445,31934,228299,6.78
USA,f,1942,80,0.09959,0.09487,0.5,30212,2866,28779,196365,6.50
USA,f,1942,81,0.10975,0.10404,0.5,27346,2845,25923,167586,6.13
USA,f,1942,82,0.12043,0.11359,0.5,24501,2783,23109,141663,5.78
USA,f,1942,83,0.13181,0.12366,0.5,21718,2686,20375,118554,5.46
USA,f,1942,84,0.14322,0.13365,0.5,19032,2544,17760,98179,5.16
USA,f,1942,85,0.15433,0.14328,0.5,16489,2362,15307,80418,4.88
USA,f,1942,86,0.16713,0.15424,0.5,14126,2179,13037,65111,4.61
USA,f,1942,87,0.18208,0.16688,0.5,11947,1994,10950,52074,4.36
USA,f,1942,88,0.19846,0.18054,0.5,9953,1797,9055,41124,4.13
USA,f,1942,89,0.21487,0.19402,0.5,8156,1583,7365,32069,3.93
USA,f,1942,90,0.22929,0.20571,0.5,6574,1352,5898,24704,3.76
USA,f,1942,91,0.24060,0.21476,0.5,5222,1121,4661,18806,3.60
USA,f,1942,92,0.24880,0.22127,0.5,4100,907,3647,14145,3.45
USA,f,1942,93,0.25440,0.22569,0.5,3193,721,2833,10499,3.29
