,date,current_price,month,year,previous_price
253,1994-09,2.195666666666667,September,1994,1.943791304347826
254,1994-10,1.9634761904761904,October,1994,2.195666666666667
255,1994-11,1.74023,November,1994,1.9634761904761904
256,1994-12,1.6413571428571427,December,1994,1.74023
257,1995-01,1.6770952380952382,January,1995,1.6413571428571427
258,1995-02,1.646063157894737,February,1995,1.6770952380952382
259,1995-03,1.7478695652173912,March,1995,1.646063157894737
260,1995-04,1.6879526315789477,April,1995,1.7478695652173912
261,1995-05,1.6629090909090911,May,1995,1.6879526315789477
262,1995-06,1.4835681818181818,June,1995,1.6629090909090911
263,1995-07,1.4022894736842104,July,1995,1.4835681818181818
264,1995-08,1.4734391304347825,August,1995,1.4022894736842104
265,1995-09,1.286,September,1995,1.4734391304347825
266,1995-10,1.219909090909091,October,1995,1.286
267,1995-11,1.20627,November,1995,1.219909090909091
268,1995-12,1.010157894736842,December,1995,1.20627
269,1996-01,1.061825,January,1996,1.010157894736842
270,1996-02,1.21216,February,1996,1.061825
271,1996-03,1.168,March,1996,1.21216
272,1996-04,1.1951190476190476,April,1996,1.168
273,1996-05,1.2386363636363635,May,1996,1.1951190476190476
274,1996-06,1.18661,June,1996,1.2386363636363635
275,1996-07,1.0968571428571428,July,1996,1.18661
276,1996-08,1.198118181818182,August,1996,1.0968571428571428
277,1996-09,1.0718,September,1996,1.198118181818182
278,1996-10,1.136086956521739,October,1996,1.0718
279,1996-11,1.1911894736842106,November,1996,1.136086956521739
280,1996-12,1.098,December,1996,1.1911894736842106
281,1997-01,1.2754545454545454,January,1997,1.098
282,1997-02,1.6681,February,1997,1.2754545454545454
283,1997-03,1.840925,March,1997,1.6681
284,1997-04,2.0017045454545457,April,1997,1.840925
285,1997-05,2.454357142857143,May,1997,2.0017045454545457
286,1997-06,2.1110285714285717,June,1997,2.454357142857143
287,1997-07,1.7163863636363637,July,1997,2.1110285714285717
288,1997-08,1.8575761904761907,August,1997,1.7163863636363637
289,1997-09,1.7588333333333332,September,1997,1.8575761904761907
290,1997-10,1.578304347826087,October,1997,1.7588333333333332
291,1997-11,1.5655444444444444,November,1997,1.578304347826087
292,1997-12,1.689,December,1997,1.5655444444444444
293,1998-01,1.7006315789473685,January,1998,1.689
294,1998-02,1.7262263157894735,February,1998,1.7006315789473685
295,1998-03,1.4815454545454545,March,1998,1.7262263157894735
296,1998-04,1.4370238095238097,April,1998,1.4815454545454545
297,1998-05,1.2991,May,1998,1.4370238095238097
298,1998-06,1.1851454545454545,June,1998,1.2991
299,1998-07,1.1205,July,1998,1.1851454545454545
300,1998-08,1.2168666666666668,August,1998,1.1205
301,1998-09,1.068404761904762,September,1998,1.2168666666666668
302,1998-10,1.061568181818182,October,1998,1.068404761904762
303,1998-11,1.1561789473684212,November,1998,1.061568181818182
304,1998-12,1.1526818181818184,December,1998,1.1561789473684212
305,1999-01,1.1247368421052633,January,1999,1.1526818181818184
306,1999-02,1.0424421052631578,February,1999,1.1247368421052633
307,1999-03,1.0511739130434783,March,1999,1.0424421052631578
308,1999-04,1.009052380952381,April,1999,1.0511739130434783
309,1999-05,1.12035,May,1999,1.009052380952381
310,1999-06,1.0762681818181818,June,1999,1.12035
311,1999-07,0.9532380952380952,July,1999,1.0762681818181818
312,1999-08,0.9157090909090908,August,1999,0.9532380952380952
313,1999-09,0.8633095238095239,September,1999,0.9157090909090908
314,1999-10,0.9463095238095236,October,1999,0.8633095238095239
315,1999-11,1.142115,November,1999,0.9463095238095236
316,1999-12,1.2751190476190477,December,1999,1.142115
317,2000-01,1.15185,January,2000,1.2751190476190477
318,2000-02,1.06536,February,2000,1.15185
319,2000-03,1.049304347826087,March,2000,1.06536
320,2000-04,0.9682368421052632,April,2000,1.049304347826087
321,2000-05,0.9871136363636364,May,2000,0.9682368421052632
322,2000-06,0.8944772727272727,June,2000,0.9871136363636364
323,2000-07,0.929921052631579,July,2000,0.8944772727272727
324,2000-08,0.799708695652174,August,2000,0.929921052631579
325,2000-09,0.8106500000000001,September,2000,0.799708695652174
326,2000-10,0.8047954545454545,October,2000,0.8106500000000001
327,2000-11,0.718065,November,2000,0.8047954545454545
328,2000-12,0.677775,December,2000,0.718065
329,2001-01,0.6601190476190476,January,2001,0.677775
330,2001-02,0.6305736842105263,February,2001,0.6601190476190476
331,2001-03,0.6298181818181818,March,2001,0.6305736842105263
332,2001-04,0.587915,April,2001,0.6298181818181818
333,2001-05,0.6481590909090909,May,2001,0.587915
334,2001-06,0.5771095238095238,June,2001,0.6481590909090909
335,2001-07,0.5418571428571428,July,2001,0.5771095238095238
336,2001-08,0.507804347826087,August,2001,0.5418571428571428
337,2001-09,0.5018,September,2001,0.507804347826087
338,2001-10,0.4474565217391305,October,2001,0.5018
339,2001-11,0.460275,November,2001,0.4474565217391305
340,2001-12,0.4684117647058823,December,2001,0.460275
341,2002-01,0.4780714285714286,January,2002,0.4684117647058823
342,2002-02,0.4530421052631578,February,2002,0.4780714285714286
343,2002-03,0.530375,March,2002,0.4530421052631578
344,2002-04,0.5444272727272726,April,2002,0.530375
345,2002-05,0.5075681818181818,May,2002,0.5444272727272726
346,2002-06,0.4836299999999999,June,2002,0.5075681818181818
347,2002-07,0.4968333333333333,July,2002,0.4836299999999999
348,2002-08,0.4827999999999999,August,2002,0.4968333333333333
349,2002-09,0.580825,September,2002,0.4827999999999999
350,2002-10,0.6218695652173913,October,2002,0.580825
351,2002-11,0.6633631578947368,November,2002,0.6218695652173913
352,2002-12,0.640925,December,2002,0.6633631578947368
353,2003-01,0.6487142857142857,January,2003,0.640925
354,2003-02,0.6281333333333333,February,2003,0.6487142857142857
355,2003-03,0.5943333333333334,March,2003,0.6281333333333333
356,2003-04,0.6209380952380952,April,2003,0.5943333333333334
357,2003-05,0.6577380952380952,May,2003,0.6209380952380952
358,2003-06,0.5905761904761905,June,2003,0.6577380952380952
359,2003-07,0.6199318181818182,July,2003,0.5905761904761905
360,2003-08,0.6172142857142857,August,2003,0.6199318181818182
361,2003-09,0.6567380952380952,September,2003,0.6172142857142857
362,2003-10,0.6228260869565218,October,2003,0.6567380952380952
363,2003-11,0.5921944444444445,November,2003,0.6228260869565218
364,2003-12,0.6422142857142857,December,2003,0.5921944444444445
365,2004-01,0.7248947368421053,January,2004,0.6422142857142857
366,2004-02,0.7314157894736842,February,2004,0.7248947368421053
367,2004-03,0.7508260869565216,March,2004,0.7314157894736842
368,2004-04,0.7042809523809523,April,2004,0.7508260869565216
369,2004-05,0.7368750000000001,May,2004,0.7042809523809523
370,2004-06,0.7806142857142857,June,2004,0.7368750000000001
371,2004-07,0.7066666666666667,July,2004,0.7806142857142857
372,2004-08,0.6809590909090909,August,2004,0.7066666666666667
373,2004-09,0.7813809523809523,September,2004,0.6809590909090909
374,2004-10,0.7585952380952381,October,2004,0.7813809523809523
375,2004-11,0.84559,November,2004,0.7585952380952381
376,2004-12,1.0071666666666668,December,2004,0.84559
377,2005-01,1.01525,January,2005,1.0071666666666668
378,2005-02,1.1408473684210527,February,2005,1.01525
379,2005-03,1.2912954545454545,March,2005,1.1408473684210527
380,2005-04,1.2108619047619047,April,2005,1.2912954545454545
381,2005-05,1.2111666666666667,May,2005,1.2108619047619047
382,2005-06,1.1262772727272727,June,2005,1.2111666666666667
383,2005-07,1.031075,July,2005,1.1262772727272727
384,2005-08,0.9993304347826087,August,2005,1.031075
385,2005-09,0.9357142857142856,September,2005,0.9993304347826087
386,2005-10,0.9972380952380951,October,2005,0.9357142857142856
387,2005-11,1.00649,November,2005,0.9972380952380951
388,2005-12,0.9997142857142856,December,2005,1.00649
389,2006-01,1.193275,January,2006,0.9997142857142856
390,2006-02,1.1210684210526316,February,2006,1.193275
391,2006-03,1.0765434782608696,March,2006,1.1210684210526316
392,2006-04,1.084315789473684,April,2006,1.0765434782608696
393,2006-05,1.040318181818182,May,2006,1.084315789473684
394,2006-06,0.9668045454545454,June,2006,1.040318181818182
395,2006-07,0.9862,July,2006,0.9668045454545454
396,2006-08,1.0512,August,2006,0.9862
397,2006-09,1.05495,September,2006,1.0512
398,2006-10,1.0455227272727272,October,2006,1.05495
399,2006-11,1.1596499999999998,November,2006,1.0455227272727272
400,2006-12,1.26495,December,2006,1.1596499999999998
401,2007-01,1.1925,January,2007,1.26495
402,2007-02,1.1624684210526317,February,2007,1.1925
403,2007-03,1.11975,March,2007,1.1624684210526317
404,2007-04,1.084665,April,2007,1.11975
405,2007-05,1.0877272727272729,May,2007,1.084665
406,2007-06,1.141847619047619,June,2007,1.0877272727272729
407,2007-07,1.1223333333333332,July,2007,1.141847619047619
408,2007-08,1.1619826086956522,August,2007,1.1223333333333332
409,2007-09,1.2482105263157894,September,2007,1.1619826086956522
410,2007-10,1.2945,October,2007,1.2482105263157894
411,2007-11,1.230895,November,2007,1.2945
412,2007-12,1.3292368421052632,December,2007,1.230895
413,2008-01,1.3460952380952382,January,2008,1.3292368421052632
414,2008-02,1.52386,February,2008,1.3460952380952382
415,2008-03,1.44535,March,2008,1.52386
416,2008-04,1.3315409090909092,April,2008,1.44535
417,2008-05,1.3476190476190475,May,2008,1.3315409090909092
418,2008-06,1.395233333333333,June,2008,1.3476190476190475
419,2008-07,1.4113636363636364,July,2008,1.395233333333333
